Name,Label,Question
,HH1,HH2
1,1,17
2,1,20
3,2,1
4,2,1
5,2,1
6,2,5
7,2,7
8,2,10
9,2,11
10,2,13
11,2,14
12,2,14
13,2,14
14,2,17
15,2,19
16,2,20
17,2,22
18,2,25
19,3,3
20,3,4
21,3,6
22,3,7
23,3,9
24,3,10
25,3,10
26,3,12
27,3,13
28,3,15
29,3,15
30,3,18
31,3,19
32,3,22
33,3,22
34,3,24
35,3,25
36,4,2
37,4,3
38,4,6
39,4,6
40,4,9
41,4,11
42,4,12
43,4,14
44,4,14
45,4,15
46,4,15
47,4,15
48,4,15
49,4,17
50,4,17
51,4,17
52,4,20
53,4,23
54,4,24
55,5,1
56,5,4
57,5,5
58,5,5
59,5,7
60,5,8
61,5,8
62,5,8
63,5,11
64,5,11
65,5,13
66,5,14
67,5,15
68,5,16
69,5,20
70,6,1
71,6,1
72,6,2
73,6,5
74,6,5
75,6,8
76,6,11
77,6,11
78,6,11
79,6,14
80,6,16
81,6,16
82,6,17
83,6,20
84,7,3
85,7,3
86,7,3
87,7,5
88,7,5
89,7,6
90,7,9
91,7,12
92,7,14
93,7,14
94,7,15
95,7,15
96,7,17
97,7,18
98,7,20
99,7,20
100,7,23
101,7,24
102,8,2
103,8,3
104,8,8
105,8,12
106,8,15
107,8,17
108,8,20
109,8,21
110,8,23
111,8,24
112,9,2
113,9,2
114,9,6
115,9,6
116,9,8
117,9,9
118,9,11
119,9,11
120,9,12
121,9,14
122,9,14
123,9,20
124,9,21
125,9,24
126,10,5
127,10,6
128,10,8
129,10,14
130,10,15
131,10,18
132,10,20
133,10,21
134,10,24
135,11,3
136,11,4
137,11,4
138,11,7
139,11,7
140,11,9
141,11,10
142,11,11
143,11,12
144,11,13
145,11,15
146,11,15
147,11,16
148,11,16
149,11,18
150,11,21
151,11,22
152,11,25
153,12,1
154,12,3
155,12,6
156,12,7
157,12,9
158,12,10
159,12,12
160,12,13
161,12,19
162,12,19
163,12,22
164,12,22
165,12,25
166,12,25
167,13,3
168,13,8
169,13,9
170,13,12
171,13,14
172,13,18
173,13,20
174,13,23
175,14,2
176,14,3
177,14,3
178,14,5
179,14,6
180,14,9
181,14,11
182,14,14
183,14,15
184,14,17
185,14,19
186,14,21
187,14,23
188,14,24
189,14,24
190,15,6
191,15,8
192,15,9
193,15,12
194,15,14
195,15,14
196,15,15
197,15,15
198,15,18
199,15,21
200,15,24
201,16,3
202,16,6
203,16,9
204,16,14
205,16,15
206,16,20
207,16,24
208,17,8
209,17,9
210,17,9
211,17,11
212,17,15
213,17,15
214,17,15
215,17,23
216,17,24
217,18,5
218,18,6
219,18,9
220,18,9
